epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-0.008884191513061523,1.7958691120147705,0,,,-0.005116444546729326,0.8494560122489929,,
0,1.7958691120147705,-0.008884191513061523,,,3,0.8494560122489929,-0.005116444546729326,,,,
0,,,,,3,,,,,0.14951668679714203,
,,,-0.10259485244750977,1.8582490682601929,1,,,-0.005597967188805342,0.7694874405860901,,
1,1.8582490682601929,-0.10259485244750977,,,7,0.7694874405860901,-0.005597967188805342,,,,
1,,,,,7,,,,,0.14473389089107513,
,,,-0.10152196884155273,1.7780532836914062,2,,,-0.010828017257153988,0.83514404296875,,
2,1.7780532836914062,-0.10152196884155273,,,11,0.83514404296875,-0.010828017257153988,,,,
2,,,,,11,,,,,0.1455814689397812,
,,,-0.23570501804351807,1.5989614725112915,3,,,-0.021728307008743286,0.8377131819725037,,
3,1.5989614725112915,-0.23570501804351807,,,15,0.8377131819725037,-0.021728307008743286,,,,
3,,,,,15,,,,,0.12045788764953613,
,,,-0.37108612060546875,1.6115479469299316,4,,,-0.030443893745541573,0.7775721549987793,,
4,1.6115479469299316,-0.37108612060546875,,,19,0.7775721549987793,-0.030443893745541573,,,,
4,,,,,19,,,,,0.1111346110701561,
,,,-0.36912858486175537,1.5868957042694092,5,,,-0.037074461579322815,0.7911996245384216,,
5,1.5868957042694092,-0.36912858486175537,,,23,0.7911996245384216,-0.037074461579322815,,,,
5,,,,,23,,,,,0.10806747525930405,
,,,-0.4160635471343994,1.4190716743469238,6,,,-0.047987837344408035,0.8017080426216125,,
6,1.4190716743469238,-0.4160635471343994,,,27,0.8017080426216125,-0.047987837344408035,,,,
6,,,,,27,,,,,0.12984363734722137,
,,,-0.40216064453125,1.3702973127365112,7,,,-0.04602332413196564,0.8106364011764526,,
7,1.3702973127365112,-0.40216064453125,,,31,0.8106364011764526,-0.04602332413196564,,,,
7,,,,,31,,,,,0.14205454289913177,
,,,-0.4559746980667114,1.342413067817688,8,,,-0.06358397006988525,0.7967440485954285,,
8,1.342413067817688,-0.4559746980667114,,,35,0.7967440485954285,-0.06358397006988525,,,,
8,,,,,35,,,,,0.12262338399887085,
,,,-0.5025835037231445,1.307985544204712,9,,,-0.06250187754631042,0.7879313230514526,,
9,1.307985544204712,-0.5025835037231445,,,39,0.7879313230514526,-0.06250187754631042,,,,
9,,,,,39,,,,,0.14006061851978302,
,,,-0.48986387252807617,1.477998971939087,10,,,-0.043689876794815063,0.6822662353515625,,
10,1.477998971939087,-0.48986387252807617,,,43,0.6822662353515625,-0.043689876794815063,,,,
10,,,,,43,,,,,0.10822339355945587,
,,,-0.5076949596405029,1.4543187618255615,11,,,-0.055283695459365845,0.7510915994644165,,
11,1.4543187618255615,-0.5076949596405029,,,47,0.7510915994644165,-0.055283695459365845,,,,
11,,,,,47,,,,,0.12112747877836227,
12,,,,,49,,,,,,0.09411972016096115
,,,-0.3953927755355835,1.5429660081863403,12,,,-0.044474415481090546,0.7464932799339294,,
12,1.5429660081863403,-0.3953927755355835,,,51,0.7464932799339294,-0.044474415481090546,,,,
12,,,,,51,,,,,0.11859233677387238,
,,,-0.321499228477478,1.5012367963790894,13,,,-0.05482309311628342,0.7903218865394592,,
13,1.5012367963790894,-0.321499228477478,,,55,0.7903218865394592,-0.05482309311628342,,,,
13,,,,,55,,,,,0.10506382584571838,
,,,-0.34340202808380127,1.6389880180358887,14,,,-0.035457104444503784,0.7114209532737732,,
14,1.6389880180358887,-0.34340202808380127,,,59,0.7114209532737732,-0.035457104444503784,,,,
14,,,,,59,,,,,0.10687649995088577,
,,,-0.3459296226501465,1.6297004222869873,15,,,-0.03583971783518791,0.7907752990722656,,
15,1.6297004222869873,-0.3459296226501465,,,63,0.7907752990722656,-0.03583971783518791,,,,
15,,,,,63,,,,,0.13060659170150757,
,,,-0.3421769142150879,1.5241913795471191,16,,,-0.038053661584854126,0.8251040577888489,,
16,1.5241913795471191,-0.3421769142150879,,,67,0.8251040577888489,-0.038053661584854126,,,,
16,,,,,67,,,,,0.10162961483001709,
,,,-0.4642091989517212,1.511222243309021,17,,,-0.028419125825166702,0.7909891605377197,,
17,1.511222243309021,-0.4642091989517212,,,71,0.7909891605377197,-0.028419125825166702,,,,
17,,,,,71,,,,,0.13331472873687744,
,,,-0.3946620225906372,1.5772485733032227,18,,,-0.030335498973727226,0.8066588640213013,,
18,1.5772485733032227,-0.3946620225906372,,,75,0.8066588640213013,-0.030335498973727226,,,,
18,,,,,75,,,,,0.13132402300834656,
,,,-0.24690234661102295,1.5634605884552002,19,,,-0.03657454997301102,0.8245365023612976,,
19,1.5634605884552002,-0.24690234661102295,,,79,0.8245365023612976,-0.03657454997301102,,,,
19,,,,,79,,,,,0.12853389978408813,
