epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch
,,,-0.08734259009361267,1.7443981170654297,,,-8.328117370605469,-0.819765031337738,0,,,-0.005593934562057257,0.9074923396110535,
0,1.7443981170654297,-0.08734259009361267,,,-0.819765031337738,-8.328117370605469,,,2,0.9074923396110535,-0.005593934562057257,,,
0,,,,,,,,,2,,,,,0.2127368450164795
,,,-0.22006994485855103,1.4758087396621704,,,-8.236515998840332,-1.1961731910705566,1,,,-0.011567450128495693,0.8857299089431763,
1,1.4758087396621704,-0.22006994485855103,,,-1.1961731910705566,-8.236515998840332,,,5,0.885729968547821,-0.011567450128495693,,,
1,,,,,,,,,5,,,,,0.18250706791877747
,,,-0.3183543384075165,1.5088462829589844,,,-9.106630325317383,-1.2447984218597412,2,,,-0.021975208073854446,0.8938410878181458,
2,1.5088462829589844,-0.3183543384075165,,,-1.2447984218597412,-9.106630325317383,,,8,0.8938410878181458,-0.021975209936499596,,,
2,,,,,,,,,8,,,,,0.17202702164649963
,,,-0.21976803243160248,1.4379050731658936,,,-9.787147521972656,-2.42289662361145,3,,,-0.03051251545548439,0.8882142901420593,
3,1.437904953956604,-0.21976803243160248,,,-2.42289662361145,-9.787147521972656,,,11,0.8882142901420593,-0.03051251731812954,,,
3,,,,,,,,,11,,,,,0.16883216798305511
,,,-0.25961992144584656,1.3970693349838257,,,-11.021535873413086,-3.78358793258667,4,,,-0.03546033427119255,0.8733583688735962,
4,1.3970693349838257,-0.25961992144584656,,,-3.783587694168091,-11.02153491973877,,,14,0.873358428478241,-0.03546033427119255,,,
4,,,,,,,,,14,,,,,0.16295449435710907
,,,-0.33697664737701416,1.3680294752120972,,,-12.076020240783691,-4.956964492797852,5,,,-0.038656432181596756,0.8644285202026367,
5,1.3680294752120972,-0.33697664737701416,,,-4.956964492797852,-12.076020240783691,,,17,0.8644285202026367,-0.038656432181596756,,,
5,,,,,,,,,17,,,,,0.16459481418132782
,,,-0.33544886112213135,1.3982700109481812,,,-13.563397407531738,-5.753488540649414,6,,,-0.038674868643283844,0.8750812411308289,
6,1.3982700109481812,-0.33544886112213135,,,-5.753488540649414,-13.563397407531738,,,20,0.8750812411308289,-0.038674868643283844,,,
6,,,,,,,,,20,,,,,0.16563646495342255
,,,-0.43910112977027893,1.3508778810501099,,,-14.345460891723633,-7.507154941558838,7,,,-0.03653984144330025,0.8733354210853577,
7,1.3508778810501099,-0.43910112977027893,,,-7.507154941558838,-14.34546184539795,,,23,0.8733354210853577,-0.03653984144330025,,,
7,,,,,,,,,23,,,,,0.15680021047592163
,,,-0.3206815719604492,1.3866082429885864,,,-15.329754829406738,-7.826996326446533,8,,,-0.034986551851034164,0.8755473494529724,
8,1.3866082429885864,-0.3206815719604492,,,-7.826996326446533,-15.329754829406738,,,26,0.8755473494529724,-0.034986551851034164,,,
8,,,,,,,,,26,,,,,0.14938771724700928
