epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-0.1040494441986084,1.1276918649673462,,,-9.525899887084961,-2.2637016773223877,0,,,-0.05155346542596817,0.7941303253173828,,
,,,-0.5444748401641846,1.3540492057800293,,,-9.79005241394043,-2.846863269805908,1,,,-0.07300866395235062,0.8037011027336121,,
,,,-0.7122833728790283,1.6014180183410645,,,-10.998926162719727,-3.368173122406006,2,,,-0.08104940503835678,0.9083241820335388,,
,,,-0.2000407576560974,1.2133214473724365,,,-12.487527847290039,-3.5647037029266357,3,,,-0.0960124060511589,0.8915011286735535,,
0,1.324120044708252,-0.39021211862564087,,,-3.0108606815338135,-10.700601577758789,,,12,0.8494142293930054,-0.07540598511695862,,,,
0,,,,,,,,,12,,,,,0.2698313891887665,
,,,-0.018924206495285034,1.1099910736083984,,,-13.210173606872559,-6.035428524017334,4,,,-0.05401815474033356,0.7938237190246582,,
,,,-0.6741615533828735,1.2586679458618164,,,-12.677003860473633,-4.943861961364746,5,,,-0.07494562864303589,0.8243807554244995,,
,,,-0.8649783134460449,1.4193607568740845,,,-12.489217758178711,-4.83132266998291,6,,,-0.09625326842069626,0.8929027318954468,,
,,,-0.1641908586025238,1.17179536819458,,,-13.871502876281738,-5.561402797698975,7,,,-0.09527622163295746,0.8889238834381104,,
1,1.2399537563323975,-0.430563747882843,,,-5.343003749847412,-13.06197452545166,,,25,0.8500077724456787,-0.08012332022190094,,,,
1,,,,,,,,,25,,,,,0.1715584099292755,
,,,-0.09961655735969543,1.1493375301361084,,,-11.854265213012695,-3.854435443878174,8,,,-0.0490553192794323,0.8068486452102661,,
,,,-0.64222252368927,1.2644745111465454,,,-11.523844718933105,-3.9879274368286133,9,,,-0.062235403805971146,0.8050919771194458,,
,,,-0.8033279776573181,1.4340219497680664,,,-10.89619255065918,-3.465022563934326,10,,,-0.08557210862636566,0.9055476784706116,,
,,,-0.13502317667007446,1.2257435321807861,,,-12.424880027770996,-3.60540771484375,11,,,-0.09186679124832153,0.891754686832428,,
2,1.2683944702148438,-0.4200475215911865,,,-3.728198289871216,-11.674795150756836,,,38,0.8523107171058655,-0.07218240201473236,,,,
2,,,,,,,,,38,,,,,0.15756137669086456,
3,,,,,,,,,49,,,,,,0.15541145205497742
,,,-0.011666029691696167,1.1391923427581787,,,-10.333296775817871,-3.361459493637085,12,,,-0.04194322228431702,0.7917506098747253,,
,,,-0.6172699928283691,1.295750617980957,,,-9.518098831176758,-2.8341739177703857,13,,,-0.0449589304625988,0.831737220287323,,
,,,-0.5282049179077148,1.4908263683319092,,,-10.109654426574707,-2.500715494155884,14,,,-0.07288570702075958,0.9180107712745667,,
,,,-0.1165720522403717,1.251481056213379,,,-10.957640647888184,-2.4333295822143555,15,,,-0.07274255901575089,0.9151307940483093,,
3,1.294312596321106,-0.31842824816703796,,,-2.7824196815490723,-10.2296724319458,,,51,0.8641573786735535,-0.058132603764534,,,,
3,,,,,,,,,51,,,,,0.15092334151268005,
,,,-0.09025701880455017,1.163996696472168,,,-8.996225357055664,-1.8794207572937012,16,,,-0.032577335834503174,0.8059406280517578,,
,,,-0.548742949962616,1.3565404415130615,,,-8.588652610778809,-1.1144051551818848,17,,,-0.040206119418144226,0.8443792462348938,,
,,,-0.5543527603149414,1.7127642631530762,,,-8.171152114868164,-0.6377182602882385,18,,,-0.06212780997157097,0.9285034537315369,,
,,,-0.02184233069419861,1.3034594058990479,,,-9.431676864624023,-0.590568482875824,19,,,-0.060655348002910614,0.9243232607841492,,
4,1.3841900825500488,-0.30379876494407654,,,-1.055528163909912,-8.796926498413086,,,64,0.8757866621017456,-0.04889165610074997,,,,
4,,,,,,,,,64,,,,,0.14675945043563843,
