epoch,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-7.550012588500977,1.5437031984329224,0,,,-0.009064843878149986,0.8046544790267944,,
0,1.5437031984329224,-7.550012588500977,,,3,0.8046544790267944,-0.009064843878149986,,,,
0,,,,,3,,,,,0.12963315844535828,
,,,-11.784687042236328,-1.8971576690673828,1,,,-0.035891346633434296,0.8286628723144531,,
1,-1.8971576690673828,-11.784687042236328,,,7,0.8286628723144531,-0.035891346633434296,,,,
1,,,,,7,,,,,0.11401698738336563,
,,,-15.84622573852539,-7.302236080169678,2,,,-0.041534174233675,0.7437124848365784,,
2,-7.302236080169678,-15.84622573852539,,,11,0.7437124848365784,-0.041534174233675,,,,
2,,,,,11,,,,,0.1229516863822937,
,,,-20.41884994506836,-10.491775512695312,3,,,-0.07077343016862869,0.7930629253387451,,
3,-10.491775512695312,-20.41884994506836,,,15,0.7930629253387451,-0.07077343016862869,,,,
3,,,,,15,,,,,0.1096845418214798,
,,,-20.544355392456055,-10.829586029052734,4,,,-0.07509820908308029,0.7618060111999512,,
4,-10.829586029052734,-20.544355392456055,,,19,0.7618060111999512,-0.07509820908308029,,,,
4,,,,,19,,,,,0.14801955223083496,
,,,-19.68926239013672,-9.867132186889648,5,,,-0.08897634595632553,0.7540988922119141,,
5,-9.867132186889648,-19.68926239013672,,,23,0.7540988922119141,-0.08897634595632553,,,,
5,,,,,23,,,,,0.13787655532360077,
,,,-20.726276397705078,-10.422342300415039,6,,,-0.06985421478748322,0.7811575531959534,,
6,-10.422342300415039,-20.726276397705078,,,27,0.7811575531959534,-0.06985421478748322,,,,
6,,,,,27,,,,,0.12681928277015686,
,,,-18.464088439941406,-8.65287971496582,7,,,-0.05241469293832779,0.7772148847579956,,
7,-8.65287971496582,-18.464088439941406,,,31,0.7772148847579956,-0.05241469293832779,,,,
7,,,,,31,,,,,0.13912774622440338,
,,,-19.527381896972656,-9.888365745544434,8,,,-0.06148624047636986,0.7733673453330994,,
8,-9.888365745544434,-19.527381896972656,,,35,0.7733673453330994,-0.06148624047636986,,,,
8,,,,,35,,,,,0.10214805603027344,
,,,-17.9537410736084,-8.192377090454102,9,,,-0.04702967032790184,0.8033010959625244,,
9,-8.192377090454102,-17.9537410736084,,,39,0.8033010959625244,-0.04702967032790184,,,,
9,,,,,39,,,,,0.11403556913137436,
,,,-15.394360542297363,-7.4276885986328125,10,,,-0.022102927789092064,0.7212174534797668,,
10,-7.4276885986328125,-15.394360542297363,,,43,0.7212174534797668,-0.022102927789092064,,,,
10,,,,,43,,,,,0.10519462078809738,
,,,-17.381011962890625,-9.146276473999023,11,,,-0.025612888857722282,0.7222146987915039,,
11,-9.146276473999023,-17.381011962890625,,,47,0.7222146987915039,-0.025612888857722282,,,,
11,,,,,47,,,,,0.109236940741539,
12,,,,,49,,,,,,0.12895862758159637
,,,-19.814857482910156,-9.881461143493652,12,,,-0.02783186361193657,0.8370952606201172,,
12,-9.881461143493652,-19.814857482910156,,,51,0.8370952606201172,-0.02783186361193657,,,,
12,,,,,51,,,,,0.09842632710933685,
,,,-16.99652099609375,-7.13763952255249,13,,,-0.01993188075721264,0.8452469706535339,,
13,-7.13763952255249,-16.99652099609375,,,55,0.8452469706535339,-0.01993188075721264,,,,
13,,,,,55,,,,,0.11961553990840912,
,,,-17.473770141601562,-7.58675479888916,14,,,-0.020939266309142113,0.8359625339508057,,
14,-7.58675479888916,-17.473770141601562,,,59,0.8359625339508057,-0.020939266309142113,,,,
14,,,,,59,,,,,0.09848322719335556,
,,,-18.818023681640625,-8.937548637390137,15,,,-0.02129409648478031,0.8285260200500488,,
15,-8.937548637390137,-18.818023681640625,,,63,0.8285260200500488,-0.02129409648478031,,,,
15,,,,,63,,,,,0.13031378388404846,
,,,-16.433319091796875,-6.612800598144531,16,,,-0.017694009467959404,0.8393807411193848,,
16,-6.612800598144531,-16.433319091796875,,,67,0.8393807411193848,-0.017694009467959404,,,,
16,,,,,67,,,,,0.12148212641477585,
,,,-17.931804656982422,-8.204177856445312,17,,,-0.013995855115354061,0.8324722051620483,,
17,-8.204177856445312,-17.931804656982422,,,71,0.8324722051620483,-0.013995855115354061,,,,
17,,,,,71,,,,,0.11661221086978912,
,,,-15.0928373336792,-5.094900131225586,18,,,-0.021065350621938705,0.8341154456138611,,
18,-5.094900131225586,-15.0928373336792,,,75,0.8341154456138611,-0.021065350621938705,,,,
18,,,,,75,,,,,0.10853133350610733,
,,,-14.495241165161133,-4.664186000823975,19,,,-0.012129099108278751,0.8378033638000488,,
19,-4.664186000823975,-14.495241165161133,,,79,0.8378033638000488,-0.012129099108278751,,,,
19,,,,,79,,,,,0.11862162500619888,
